A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,B4,B5,C1,C2,C3,C4,D1,D2,D3,D4,D5,ROE,EPS
25.035,340.63,214.635,1.445,1.865,1.93,13.54,1721394,0.205,48.82,738,8,5,36,5,10,32.8,76.5,42.58,128.339,20.11,29.325,12.725,0.297,1.6,0.31
20.605,479.315,357.74,2.35,2.225,1.86,11.98,1010290,0.135,41.325,191,30,5,35,1.5,3,45.2,100,93.65,116.934,17.225,27.7,-23.25,0.402,2.8,0.55
9.68,1303.42,904.315,1.315,1.045,0.765,44.625,145994,0.1,87.075,76,13,7,42,0.5,4,62.9,100,80.39,10.904,15.905,33.105,0.645,0.154,0.14,0.03
38.525,298.19,121.955,2.3,1.59,6.17,3.57,2661456,0.57,57.395,484,17,4,36,3.5,4,28,78.6,87.12,52.893,9.205,13.635,24.915,0.731,4.89,1.15
54.04,192.705,84.355,2.395,1.56,10.46,-13.7,1503323,0.535,60.525,285,16,2,32,1.5,1,14.3,100,87.16,41.747,7.105,10.635,24.53,0.83,-0.66,-0.19
27.905,453.18,268.615,1.73,1.265,5.23,39.105,1151392,0.235,72.12,379,10,6,37,12.5,5,48.4,42.7,72.23,95.511,14.42,24.975,38.03,0.408,2.91,0.49
21.14,536.895,384.24,0.735,1.03,14.44,15.61,351998.5,0.2,88.725,131,1,4,35,4,6,41.3,96.3,98.06,25.45,11.44,25.695,-2.46,0.894,-0.85,-0.16
36.495,282.625,179.16,1.42,1.51,3.88,23.845,3311710,0.39,60.2,577,6,4,34,27.5,7,35.3,64.2,43.61,484.918,9.335,19.12,45.795,0.429,6.86,2.78
36.02,271.695,157.005,1.26,1.57,3.195,2.67,1400649,0.295,58.37,314,26,4,36,4.5,11,25.5,100,78.59,46.683,13.48,17.3,1.59,0.359,2.56,0.76
28.69,349.99,235.375,0.88,1.07,10.12,10.715,1314022,0.24,86.41,253,4,6,35,0,2,34.7,77.5,81.69,165.368,7.3,13.63,20.845,1,1.46,0.68
35.655,485.605,192.82,0.81,0.78,10.85,-13.36,963997.5,0.27,117.01,109,3,5,35,0.5,3,15.1,70.7,74.41,11.751,3.34,8.195,17.47,0.995,-1.82,-0.29
22.885,390.845,360.01,2.155,1.67,4.445,10.135,1259839.5,0.16,55.19,171,17,4,35,18,2,48,100,90.03,248.66,11.48,19.785,30.535,0.378,1.35,0.66
29.235,293.07,194.905,1.03,1.005,10.805,15.115,243467,0.365,92.1,96,2,5,35,0,4,32.3,45.5,33.93,16.21,13.52,18.215,30.985,0.946,2.84,0.42
24.215,324.555,292.39,1.35,2.91,1.28,17.06,345316.5,0.265,31.385,122,14,3,32,12.5,2,41.1,94.3,24.42,42.08,11.05,16.475,37.8,0.523,1.82,0.48
17.425,386.98,373.33,3.045,0,0.655,33.115,233353.5,0.2,0,178,8,4,34,3,3,14.7,100,42.93,30.92,27.365,41.22,50.88,0.373,4.75,0.72
