A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,B4,B5,C1,C2,C3,C4,D1,D2,D3,D4
36.86 ,256.52 ,131.96 ,2.24 ,1.52 ,5.38 ,8.79 ,2361567.00 ,0.54 ,60.47 ,484.00 ,17.00 ,4.00 ,36.00 ,0.50 ,4.00 ,28.00 ,78.60 ,87.12 ,52.89 ,9.54 ,14.09 ,20.32 
25.96 ,385.32 ,300.90 ,1.79 ,1.12 ,4.71 ,5.08 ,1046738.00 ,0.22 ,83.87 ,379.00 ,10.00 ,6.00 ,37.00 ,16.00 ,5.00 ,48.40 ,42.70 ,72.23 ,95.51 ,14.42 ,26.19 ,61.59 
19.78 ,537.97 ,422.21 ,0.79 ,1.22 ,15.22 ,2.49 ,383476.00 ,0.22 ,75.54 ,131.00 ,1.00 ,4.00 ,35.00 ,4.00 ,6.00 ,41.30 ,96.30 ,98.06 ,25.45 ,11.54 ,24.95 ,34.66 
34.43 ,268.65 ,190.81 ,1.51 ,1.37 ,4.14 ,20.86 ,3048443.00 ,0.39 ,66.94 ,577.00 ,6.00 ,4.00 ,34.00 ,22.50 ,7.00 ,35.30 ,64.20 ,43.61 ,484.92 ,9.24 ,18.34 ,94.56 
30.54 ,240.35 ,196.43 ,1.26 ,1.63 ,4.37 ,9.47 ,1383793.00 ,0.32 ,56.00 ,314.00 ,26.00 ,4.00 ,36.00 ,6.00 ,11.00 ,25.50 ,100.00 ,78.59 ,46.68 ,12.88 ,16.47 ,26.15 
27.36 ,345.29 ,281.22 ,0.94 ,1.28 ,13.76 ,10.95 ,1293149.00 ,0.25 ,71.13 ,253.00 ,4.00 ,6.00 ,35.00 ,0.00 ,2.00 ,34.70 ,77.50 ,81.69 ,165.37 ,7.21 ,13.67 ,43.13 
32.49 ,441.60 ,187.28 ,0.80 ,0.84 ,9.99 ,3.56 ,901465.50 ,0.28 ,109.02 ,109.00 ,3.00 ,5.00 ,35.00 ,0.00 ,3.00 ,15.10 ,70.70 ,74.41 ,11.75 ,3.01 ,7.82 ,31.39 
22.61 ,393.76 ,366.20 ,2.34 ,1.90 ,4.31 ,15.30 ,1214109.50 ,0.16 ,48.14 ,171.00 ,17.00 ,4.00 ,35.00 ,15.50 ,2.00 ,48.00 ,100.00 ,90.03 ,248.66 ,11.75 ,20.24 ,54.79 
27.86 ,305.49 ,214.81 ,1.06 ,1.14 ,10.50 ,9.19 ,232844.50 ,0.37 ,80.43 ,96.00 ,2.00 ,5.00 ,35.00 ,0.00 ,4.00 ,32.30 ,45.50 ,33.93 ,16.21 ,13.42 ,18.08 ,66.68 
26.22 ,289.96 ,261.38 ,1.51 ,3.01 ,1.20 ,21.58 ,324633.00 ,0.26 ,30.33 ,122.00 ,14.00 ,3.00 ,32.00 ,13.50 ,2.00 ,41.10 ,94.30 ,24.42 ,42.08 ,9.50 ,16.67 ,117.27 
24.26 ,259.65 ,254.06 ,3.08 ,0.00 ,0.77 ,26.65 ,200127.00 ,0.17 ,0.00 ,178.00 ,8.00 ,4.00 ,34.00 ,4.00 ,3.00 ,14.70 ,100.00 ,42.93 ,30.92 ,32.90 ,47.52 ,65.38 
17.42 ,580.01 ,514.32 ,2.02 ,0.95 ,43.12 ,5.36 ,158659.00 ,0.15 ,95.69 ,124.00 ,5.00 ,3.00 ,33.00 ,0.00 ,2.00 ,46.00 ,79.50 ,41.99 ,16.75 ,19.04 ,34.12 ,53.58 
38.10 ,252.94 ,193.06 ,2.17 ,0.72 ,0.49 ,-18.32 ,1440587.00 ,0.11 ,126.81 ,861.00 ,8.00 ,7.00 ,36.00 ,68.50 ,21.00 ,39.90 ,100.00 ,62.73 ,0.16 ,42.96 ,89.21 ,13.75 
27.69 ,309.88 ,212.46 ,1.43 ,1.39 ,2.99 ,8.26 ,3570276.00 ,0.19 ,67.13 ,634.00 ,58.00 ,3.00 ,34.00 ,18.50 ,25.00 ,35.30 ,99.90 ,95.08 ,96.58 ,22.35 ,29.42 ,-32.02 
20.18 ,461.64 ,312.44 ,2.02 ,1.81 ,2.05 ,27.18 ,1822021.00 ,0.24 ,50.33 ,562.00 ,6.00 ,6.00 ,36.00 ,14.50 ,21.00 ,33.70 ,28.10 ,49.88 ,77.50 ,13.25 ,20.84 ,34.72 
22.87 ,495.13 ,270.82 ,2.46 ,0.75 ,6.91 ,-7.30 ,1962566.00 ,0.25 ,139.50 ,318.00 ,2.00 ,5.00 ,37.00 ,4.00 ,10.00 ,31.50 ,100.00 ,52.23 ,120.56 ,7.92 ,12.59 ,57.66 
15.32 ,509.12 ,345.67 ,1.53 ,1.06 ,9.03 ,-3.36 ,1023012.00 ,0.14 ,87.18 ,532.00 ,7.00 ,5.00 ,36.00 ,5.00 ,5.00 ,34.50 ,34.50 ,32.90 ,69.21 ,17.91 ,31.59 ,-3.00 
46.73 ,203.80 ,153.81 ,0.90 ,1.98 ,5.88 ,0.17 ,9469079.00 ,0.25 ,46.21 ,1268.00 ,9.00 ,4.00 ,34.00 ,30.00 ,8.00 ,24.40 ,86.30 ,73.30 ,808.94 ,9.74 ,13.09 ,19.91 
25.04 ,340.63 ,214.64 ,1.45 ,1.87 ,1.93 ,13.54 ,1721394.00 ,0.21 ,48.82 ,738.00 ,8.00 ,5.00 ,36.00 ,5.00 ,10.00 ,32.80 ,76.50 ,42.58 ,128.34 ,20.11 ,29.33 ,12.73 
20.61 ,479.32 ,357.74 ,2.35 ,2.23 ,1.86 ,11.98 ,1010290.00 ,0.14 ,41.33 ,191.00 ,30.00 ,5.00 ,35.00 ,1.50 ,3.00 ,45.20 ,100.00 ,93.65 ,116.93 ,17.23 ,27.70 ,-23.25 
9.68 ,1303.42 ,904.32 ,1.32 ,1.05 ,0.77 ,44.63 ,145994.00 ,0.10 ,87.08 ,76.00 ,13.00 ,7.00 ,42.00 ,0.50 ,4.00 ,62.90 ,100.00 ,80.39 ,10.90 ,15.91 ,33.11 ,0.65 
38.53 ,298.19 ,121.96 ,2.30 ,1.59 ,6.17 ,3.57 ,2661456.00 ,0.57 ,57.40 ,484.00 ,17.00 ,4.00 ,36.00 ,3.50 ,4.00 ,28.00 ,78.60 ,87.12 ,52.89 ,9.21 ,13.64 ,24.92 
54.04 ,192.71 ,84.36 ,2.40 ,1.56 ,10.46 ,-13.70 ,1503323.00 ,0.54 ,60.53 ,285.00 ,16.00 ,2.00 ,32.00 ,1.50 ,1.00 ,14.30 ,100.00 ,87.16 ,41.75 ,7.11 ,10.64 ,24.53 
27.91 ,453.18 ,268.62 ,1.73 ,1.27 ,5.23 ,39.11 ,1151392.00 ,0.24 ,72.12 ,379.00 ,10.00 ,6.00 ,37.00 ,12.50 ,5.00 ,48.40 ,42.70 ,72.23 ,95.51 ,14.42 ,24.98 ,38.03 
21.14 ,536.90 ,384.24 ,0.74 ,1.03 ,14.44 ,15.61 ,351998.50 ,0.20 ,88.73 ,131.00 ,1.00 ,4.00 ,35.00 ,4.00 ,6.00 ,41.30 ,96.30 ,98.06 ,25.45 ,11.44 ,25.70 ,-2.46 
36.50 ,282.63 ,179.16 ,1.42 ,1.51 ,3.88 ,23.85 ,3311710.00 ,0.39 ,60.20 ,577.00 ,6.00 ,4.00 ,34.00 ,27.50 ,7.00 ,35.30 ,64.20 ,43.61 ,484.92 ,9.34 ,19.12 ,45.80 
36.02 ,271.70 ,157.01 ,1.26 ,1.57 ,3.20 ,2.67 ,1400649.00 ,0.30 ,58.37 ,314.00 ,26.00 ,4.00 ,36.00 ,4.50 ,11.00 ,25.50 ,100.00 ,78.59 ,46.68 ,13.48 ,17.30 ,1.59 
28.69 ,349.99 ,235.38 ,0.88 ,1.07 ,10.12 ,10.72 ,1314022.00 ,0.24 ,86.41 ,253.00 ,4.00 ,6.00 ,35.00 ,0.00 ,2.00 ,34.70 ,77.50 ,81.69 ,165.37 ,7.30 ,13.63 ,20.85 
35.66 ,485.61 ,192.82 ,0.81 ,0.78 ,10.85 ,-13.36 ,963997.50 ,0.27 ,117.01 ,109.00 ,3.00 ,5.00 ,35.00 ,0.50 ,3.00 ,15.10 ,70.70 ,74.41 ,11.75 ,3.34 ,8.20 ,17.47 
22.89 ,390.85 ,360.01 ,2.16 ,1.67 ,4.45 ,10.14 ,1259839.50 ,0.16 ,55.19 ,171.00 ,17.00 ,4.00 ,35.00 ,18.00 ,2.00 ,48.00 ,100.00 ,90.03 ,248.66 ,11.48 ,19.79 ,30.54 
29.24 ,293.07 ,194.91 ,1.03 ,1.01 ,10.81 ,15.12 ,243467.00 ,0.37 ,92.10 ,96.00 ,2.00 ,5.00 ,35.00 ,0.00 ,4.00 ,32.30 ,45.50 ,33.93 ,16.21 ,13.52 ,18.22 ,30.99 
24.22 ,324.56 ,292.39 ,1.35 ,2.91 ,1.28 ,17.06 ,345316.50 ,0.27 ,31.39 ,122.00 ,14.00 ,3.00 ,32.00 ,12.50 ,2.00 ,41.10 ,94.30 ,24.42 ,42.08 ,11.05 ,16.48 ,37.80 
17.43 ,386.98 ,373.33 ,3.05 ,0.00 ,0.66 ,33.12 ,233353.50 ,0.20 ,0.00 ,178.00 ,8.00 ,4.00 ,34.00 ,3.00 ,3.00 ,14.70 ,100.00 ,42.93 ,30.92 ,27.37 ,41.22 ,50.88 
19.75 ,492.67 ,423.26 ,2.08 ,0.88 ,38.87 ,0.77 ,174899.00 ,0.17 ,104.90 ,124.00 ,5.00 ,3.00 ,33.00 ,1.00 ,2.00 ,46.00 ,79.50 ,41.99 ,16.75 ,17.91 ,31.51 ,47.66 
3.97 ,1068.29 ,966.22 ,1.03 ,1.42 ,0.56 ,42.06 ,546741.50 ,0.04 ,74.27 ,663.00 ,8.00 ,5.00 ,34.00 ,1.00 ,11.00 ,40.80 ,100.00 ,89.89 ,12.81 ,46.09 ,54.94 ,-53.13 
25.50 ,283.31 ,215.16 ,1.44 ,0.90 ,1.23 ,2.61 ,5024795.00 ,0.21 ,101.41 ,1902.00 ,12.00 ,5.00 ,34.00 ,46.00 ,9.00 ,43.20 ,100.00 ,30.99 ,322.60 ,18.98 ,31.44 ,-13.20 
33.29 ,229.35 ,179.17 ,2.30 ,0.73 ,0.51 ,-16.89 ,1486220.00 ,0.11 ,125.30 ,845.00 ,5.00 ,8.00 ,37.00 ,69.00 ,21.00 ,39.90 ,100.00 ,65.91 ,0.16 ,41.02 ,87.46 ,14.44 
13.59 ,749.38 ,679.58 ,0.82 ,1.51 ,2.35 ,21.44 ,526762.00 ,0.15 ,60.27 ,282.00 ,21.00 ,7.00 ,36.00 ,1.50 ,14.00 ,10.70 ,53.80 ,66.36 ,22.37 ,10.81 ,19.68 ,-12.96 
19.49 ,425.89 ,380.46 ,3.39 ,1.33 ,3.28 ,13.57 ,25430344.50 ,0.18 ,68.95 ,6746.00 ,14.00 ,3.00 ,32.00 ,93.00 ,7.00 ,52.60 ,100.00 ,90.23 ,3863.30 ,24.48 ,30.01 ,-20.02 
17.01 ,452.68 ,365.23 ,1.85 ,1.54 ,1.81 ,23.81 ,1595356.50 ,0.21 ,60.52 ,605.00 ,6.00 ,7.00 ,36.00 ,10.00 ,21.00 ,33.70 ,28.10 ,57.13 ,77.50 ,15.54 ,24.67 ,15.97 
18.82 ,499.09 ,272.06 ,2.13 ,0.48 ,3.32 ,-49.16 ,1305719.50 ,0.17 ,190.33 ,331.00 ,9.00 ,5.00 ,37.00 ,2.50 ,10.00 ,31.50 ,100.00 ,56.76 ,120.56 ,9.87 ,14.68 ,-7.65 
11.38 ,536.84 ,438.87 ,1.53 ,0.96 ,8.55 ,-0.36 ,956102.00 ,0.13 ,95.11 ,544.00 ,8.00 ,6.00 ,37.00 ,7.50 ,5.00 ,34.50 ,34.50 ,34.31 ,69.21 ,18.55 ,32.66 ,-8.23 
42.16 ,194.21 ,168.57 ,0.85 ,1.80 ,5.70 ,9.61 ,9126533.50 ,0.24 ,50.58 ,1339.00 ,7.00 ,4.00 ,35.00 ,39.50 ,8.00 ,24.40 ,86.30 ,74.25 ,808.94 ,9.62 ,13.13 ,15.45 
20.63 ,302.79 ,254.47 ,1.45 ,1.77 ,1.93 ,18.58 ,1694107.50 ,0.21 ,51.71 ,681.00 ,17.00 ,5.00 ,36.00 ,8.50 ,10.00 ,32.80 ,76.50 ,46.82 ,128.34 ,21.42 ,30.76 ,15.23 
16.49 ,448.30 ,425.88 ,2.35 ,2.31 ,1.62 ,21.29 ,894569.50 ,0.13 ,39.56 ,200.00 ,14.00 ,5.00 ,33.00 ,1.00 ,3.00 ,45.20 ,100.00 ,95.53 ,116.93 ,19.23 ,31.93 ,-35.85 
6.51 ,1330.59 ,1238.82 ,1.21 ,1.07 ,0.67 ,60.22 ,125449.00 ,0.09 ,84.85 ,75.00 ,1.00 ,8.00 ,43.00 ,0.00 ,4.00 ,62.90 ,100.00 ,79.03 ,10.90 ,18.83 ,38.15 ,-17.18 
